%1.Title:Laptops
%
%2.Sources:
%	(a)Creator:KrstevFilip
%	(b)Date:June,2016
%	(c)878 instances
%
@RELATION IS


@ATTRIBUTE processor	{i3,i5,i7,Pentium,Celeron,Atom,AMDSemprom,AMDESeries,,Core2Duo,Core2Quad}
@ATTRIBUTE memory		numeric
@ATTRIBUTE screenSize	numeric
@ATTRIBUTE grapics		{Integrated/On-BoardGraphics,DedicatedGraphics}
@ATTRIBUTE operatinS	{Windows10,Windows8,Windows7,WindowsXP,ChromeOS}
@ATTRIBUTE ssd			{Yes,No}
@ATTRIBUTE price		numeric

@DATA
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,289.99
i7,8,15.6,Integrated/On-BoardGraphics,Windows7,No,725
Celeron,4,15.6,Integrated/On-BoardGraphics,ChromeOS,Yes,309.99
i5,6,15.6,Integrated/On-BoardGraphics,Windows10,No,479.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,354
i3,8,14,Integrated/On-BoardGraphics,Windows7,No,499
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,349.99
i7,16,15.6,Integrated/On-BoardGraphics,Windows8,No,950
i7,8,14.1,DedicatedGraphics,Windows7,Yes,819.99
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,326.19
i5,8,15.6,Integrated/On-BoardGraphics,Windows10,No,549.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,309.94
i5,8,17.3,DedicatedGraphics,Windows7,No,619
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,279.99
i7,20,17.3,DedicatedGraphics,Windows8,No,1966.9
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,289.94
i5,8,15.6,Integrated/On-BoardGraphics,Windows10,No,549.88
i7,20,17.3,DedicatedGraphics,Windows8,No,1966.9
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,289.94
i7,8,14,Integrated/On-BoardGraphics,Windows8,No,890
i5,8,15.6,Integrated/On-BoardGraphics,Windows8,Yes,954.53
i5,8,14,Integrated/On-BoardGraphics,Windows8,No,499
i3,6,15.6,Integrated/On-BoardGraphics,Windows8,No,399.99
i5,8,17.3,DedicatedGraphics,Windows7,No,619
i7,16,15.6,DedicatedGraphics,Windows7,Yes,1289
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,429.99
i5,8,14,Integrated/On-BoardGraphics,Windows7,No,729.99
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,219.99
i5,8,17.3,DedicatedGraphics,Windows7,No,619
i7,8,17.3,DedicatedGraphics,Windows8,No,1499.97
i5,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,599.5
i5,4,17.3,Integrated/On-BoardGraphics,Windows8,No,579.99
i7,8,15.6,DedicatedGraphics,Windows8,No,779.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows7,No,359.99
i5,8,17.3,DedicatedGraphics,Windows8,No,649
i5,8,15.6,Integrated/On-BoardGraphics,Windows7,No,769.99
i7,16,15.6,DedicatedGraphics,Windows10,No,899.99
i5,8,15.6,Integrated/On-BoardGraphics,Windows10,No,455.88
Celeron,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,296.99
i7,8,15.6,Integrated/On-BoardGraphics,Windows7,No,725
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,Yes,279.99
Pentium,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,419.99
i7,12,17.3,Integrated/On-BoardGraphics,Windows8,No,999.99
AMDESeries,8,15.6,Integrated/On-BoardGraphics,Windows8,No,651.16
i5,12,15.6,Integrated/On-BoardGraphics,Windows7,No,890.95
i5,8,15.6,Integrated/On-BoardGraphics,Windows8,No,599.99
i7,8 ,13.3,Integrated/On-BoardGraphics,WindowsXP,Yes,1399.99
i5,6,15.6,Integrated/On-BoardGraphics,Windows8,No,679.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,335.99
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows8,No,369.95
i7,8,14,DedicatedGraphics,Windows8,No,699
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows8,No,300
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,209.99
i7,12,15.6,Integrated/On-BoardGraphics,Windows8,No,789.99
i5,6,15.6,Integrated/On-BoardGraphics,Windows10,No,449.88
i7,6,15.6,Integrated/On-BoardGraphics,Windows8,No,649.99
Pentium,8,15.6,Integrated/On-BoardGraphics,Windows8,No,542.66
i5,8,14,Integrated/On-BoardGraphics,Windows8,No,1299.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,279.94
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,Yes,219.99
i7,16,15.6,Integrated/On-BoardGraphics,Windows8,No,881.59
i7,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,1099.96
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows10,No,224.99
i5,8,15.6,Integrated/On-BoardGraphics,Windows8,No,1447.15
i5,4,17.3,Integrated/On-BoardGraphics,Windows10,No,499.99
i5,6,15.6,Integrated/On-BoardGraphics,Windows8,No,569.99
i7,8,17.3,Integrated/On-BoardGraphics,Windows10,No,899.53
i5,8,15.6,Integrated/On-BoardGraphics,Windows10,No,599
i5,8,15.6,Integrated/On-BoardGraphics,Windows8,No,752.98
i7,16,15.6,DedicatedGraphics,Windows10,No,1449.86
i5,8,15.6,Integrated/On-BoardGraphics,Windows7,No,769.99
i7,16,15.6,DedicatedGraphics,Windows8,Yes,893.96
