@relation 'day-of-week-data/adel.train'
@attribute F0 {Adelaide}
@attribute F1 real
@attribute F2 real
@attribute F3 real
@attribute F4 real
@attribute F5 real
@attribute F6 real
@attribute F7 real
@attribute F8 real
@attribute F9 real
@attribute F10 real
@attribute F11 real
@attribute F12 real
@attribute F13 real
@attribute F14 real
@attribute F15 real
@attribute F16 real
@attribute F17 real
@attribute F18 real
@attribute F19 real
@attribute F20 real
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}
@data
Adelaide,1956,12,10,0.0,11.7,18.9,15.4,6.2,?,?,?,24000.0,40000.0,34750.0,7.2,10.6,9.2,?,?,?,Mon
Adelaide,1956,12,17,0.0,16.7,22.2,18.9,12.9,?,?,?,19000.0,40000.0,32375.0,12.2,13.9,12.8,?,?,?,Mon
Adelaide,1956,12,24,0.0,13.3,20.6,17.2,10.3,?,?,?,30000.0,40000.0,37500.0,3.3,15.0,9.9,?,?,?,Mon
Adelaide,1955,02,21,0.0,15.6,25.6,22.0,7.7,?,?,?,6000.0,40000.0,30000.0,9.4,13.9,11.7,?,?,?,Mon
Adelaide,1955,02,28,0.0,13.3,25.0,18.9,7.2,?,?,?,12000.0,40000.0,31714.3,8.3,10.0,9.3,?,?,?,Mon
Adelaide,1955,03,07,0.0,9.4,19.4,15.5,6.7,?,?,?,24000.0,40000.0,29714.3,7.2,8.9,8.2,?,?,?,Mon
Adelaide,1955,03,14,0.0,12.2,20.0,15.9,7.7,?,?,?,30000.0,40000.0,37142.9,5.6,11.7,8.5,?,?,?,Mon
Adelaide,1955,03,21,0.5,21.7,28.9,24.7,6.2,?,?,?,24000.0,30000.0,27428.6,17.2,20.0,18.9,?,?,?,Mon
Adelaide,1955,04,04,0.0,11.1,22.2,17.2,6.2,?,?,?,9000.0,30000.0,22142.9,4.4,6.1,5.6,?,?,?,Mon
Adelaide,1955,04,11,0.0,20.6,30.0,24.5,7.2,?,?,?,24000.0,40000.0,34857.1,13.9,18.3,16.3,?,?,?,Mon
Adelaide,1955,04,18,3.0,7.8,15.6,12.8,6.2,?,?,?,30000.0,40000.0,38571.4,5.0,7.2,6.2,?,?,?,Mon
Adelaide,1955,04,25,2.0,8.3,15.0,12.0,7.7,?,?,?,30000.0,40000.0,31428.6,5.6,11.1,7.7,?,?,?,Mon
Adelaide,1955,05,02,0.0,12.2,18.9,15.2,8.2,?,?,?,16000.0,30000.0,23428.6,7.8,12.8,10.3,?,?,?,Mon
Adelaide,1955,05,09,0.0,10.6,17.8,13.2,6.2,?,?,?,24000.0,40000.0,31142.9,2.8,6.1,4.2,?,?,?,Mon
Adelaide,1955,05,23,0.0,6.7,13.3,10.7,10.3,?,?,?,24000.0,40000.0,36285.7,3.9,6.1,4.9,?,?,?,Mon
Adelaide,1955,05,30,5.0,12.2,16.1,14.3,10.3,?,?,?,16000.0,30000.0,20285.7,10.6,13.3,12.6,?,?,?,Mon
Adelaide,1955,06,06,0.5,3.9,13.9,9.4,4.1,?,?,?,24000.0,30000.0,29142.9,2.2,7.2,4.3,?,?,?,Mon
Adelaide,1955,06,13,13.0,12.2,15.0,13.6,2.1,?,?,?,16000.0,24000.0,22857.1,10.0,13.3,12.1,?,?,?,Mon
Adelaide,1955,06,20,0.0,10.0,13.9,11.8,6.2,?,?,?,24000.0,45000.0,37714.3,3.3,5.6,4.6,?,?,?,Mon
Adelaide,1955,06,27,1.0,5.6,12.8,9.2,8.7,?,?,?,19000.0,40000.0,34142.9,2.8,7.2,4.6,?,?,?,Mon
Adelaide,1955,07,04,0.0,10.0,13.9,11.8,4.1,?,?,?,6000.0,24000.0,17142.9,5.0,10.6,8.6,?,?,?,Mon
Adelaide,1955,07,11,0.3,8.9,13.3,11.6,6.2,?,?,?,8000.0,40000.0,27428.6,3.3,7.8,6.1,?,?,?,Mon
Adelaide,1955,07,18,0.0,7.8,12.2,10.1,3.1,?,?,?,8000.0,30000.0,17428.6,5.0,7.8,6.8,?,?,?,Mon
Adelaide,1955,07,25,0.0,10.0,16.7,13.1,9.3,?,?,?,9000.0,40000.0,24142.9,8.9,11.1,10.2,?,?,?,Mon
Adelaide,1955,08,01,0.3,9.4,14.4,11.6,11.3,?,?,?,8000.0,40000.0,22250.0,3.3,9.4,6.0,?,?,?,Mon
Adelaide,1955,08,08,3.0,10.0,12.2,11.2,14.4,?,?,?,24000.0,24000.0,24000.0,5.0,9.4,7.1,?,?,?,Mon
Adelaide,1955,08,15,5.0,5.6,14.4,10.7,12.3,?,?,?,16000.0,30000.0,24250.0,3.9,6.1,5.3,?,?,?,Mon
Adelaide,1955,08,22,0.3,9.4,14.4,11.9,12.3,?,?,?,16000.0,24000.0,20000.0,6.7,10.6,9.1,?,?,?,Mon
Adelaide,1955,09,12,0.0,15.0,25.0,19.5,7.2,?,?,?,30000.0,40000.0,38750.0,5.0,11.1,8.3,?,?,?,Mon
Adelaide,1955,09,19,0.0,16.1,21.7,19.2,6.2,?,?,?,16000.0,30000.0,26000.0,1.7,8.3,5.3,?,?,?,Mon
Adelaide,1955,09,26,1.0,12.2,17.2,14.2,13.4,?,?,?,8000.0,30000.0,18250.0,8.9,13.3,11.7,?,?,?,Mon
Adelaide,1955,10,03,0.0,8.9,17.2,13.1,4.1,?,?,?,24000.0,40000.0,33500.0,6.7,8.9,7.6,?,?,?,Mon
Adelaide,1955,10,17,0.0,12.8,27.2,18.6,15.4,?,?,?,11000.0,40000.0,20375.0,1.7,10.6,7.0,?,?,?,Mon
Adelaide,1955,10,24,0.0,12.8,20.0,16.2,13.9,?,?,?,24000.0,40000.0,30250.0,7.8,10.6,9.2,?,?,?,Mon
Adelaide,1955,10,31,6.0,10.6,16.1,13.0,7.2,?,?,?,16000.0,30000.0,28250.0,2.8,9.4,6.6,?,?,?,Mon
Adelaide,1955,11,07,0.3,11.1,17.8,14.6,12.3,?,?,?,12000.0,30000.0,24750.0,6.7,8.3,7.3,?,?,?,Mon
Adelaide,1955,11,14,0.0,8.3,17.8,13.1,7.2,?,?,?,24000.0,40000.0,35500.0,3.9,5.0,4.4,?,?,?,Mon
Adelaide,1955,11,28,0.0,15.0,21.7,17.7,3.6,?,?,?,24000.0,45000.0,32875.0,8.3,12.2,10.4,?,?,?,Mon
Adelaide,1955,12,05,0.3,10.6,17.2,14.1,3.6,?,?,?,24000.0,40000.0,30500.0,8.3,10.0,8.7,?,?,?,Mon
Adelaide,1956,01,02,2.0,11.7,18.3,15.1,9.3,?,?,?,24000.0,40000.0,33000.0,7.2,12.2,9.3,?,?,?,Mon
Adelaide,1956,01,09,0.0,16.1,25.0,21.0,8.2,?,?,?,30000.0,45000.0,34375.0,3.9,16.1,11.7,?,?,?,Mon
Adelaide,1956,01,23,0.0,17.8,28.9,24.1,8.2,?,?,?,24000.0,40000.0,34750.0,3.9,12.2,8.1,?,?,?,Mon
Adelaide,1956,02,13,0.0,12.8,24.4,19.0,9.3,?,?,?,24000.0,45000.0,40500.0,10.0,13.3,11.9,?,?,?,Mon
Adelaide,1956,02,20,0.0,16.7,29.4,24.0,6.2,?,?,?,12000.0,45000.0,31875.0,13.9,18.9,16.4,?,?,?,Mon
Adelaide,1956,02,27,0.0,16.1,26.1,20.8,6.2,?,?,?,30000.0,45000.0,33750.0,7.2,12.8,10.1,?,?,?,Mon
Adelaide,1956,03,05,21.0,19.4,26.7,22.5,3.6,?,?,?,24000.0,40000.0,30750.0,17.2,20.0,18.7,?,?,?,Mon
Adelaide,1956,03,12,0.0,16.1,26.7,20.6,7.2,?,?,?,30000.0,45000.0,36875.0,12.8,15.6,14.1,?,?,?,Mon
Adelaide,1956,03,19,0.0,18.9,22.8,20.2,3.6,?,?,?,24000.0,30000.0,27750.0,15.6,17.2,16.3,?,?,?,Mon
Adelaide,1956,03,26,0.0,20.6,29.4,25.4,7.2,?,?,?,24000.0,45000.0,36750.0,8.3,13.9,10.8,?,?,?,Mon
Adelaide,1956,04,02,0.0,21.7,30.6,25.9,7.7,?,?,?,30000.0,40000.0,32500.0,11.7,16.7,14.7,?,?,?,Mon
Adelaide,1956,04,09,4.0,15.0,18.9,16.7,13.9,?,?,?,24000.0,30000.0,27750.0,11.1,14.4,12.9,?,?,?,Mon
Adelaide,1956,04,16,6.0,15.6,17.2,16.3,14.4,?,?,?,16000.0,30000.0,25000.0,10.6,14.4,12.5,?,?,?,Mon
Adelaide,1956,04,23,0.0,13.3,20.0,16.4,6.7,?,?,?,16000.0,40000.0,32000.0,7.8,10.0,8.8,?,?,?,Mon
Adelaide,1956,04,30,0.0,11.7,22.2,17.3,2.6,?,?,?,24000.0,40000.0,29750.0,9.4,13.3,11.5,?,?,?,Mon
Adelaide,1956,05,07,0.0,9.4,21.7,14.9,1.0,?,?,?,8000.0,30000.0,20500.0,5.6,11.1,8.3,?,?,?,Mon
Adelaide,1956,05,14,0.0,13.9,20.0,16.4,6.2,?,?,?,12000.0,40000.0,25375.0,8.3,12.2,10.5,?,?,?,Mon
Adelaide,1956,05,21,2.0,12.2,14.4,13.4,7.2,?,?,?,3200.0,16000.0,8500.0,11.1,12.8,11.9,?,?,?,Mon
Adelaide,1956,05,28,3.0,6.1,15.6,10.7,3.1,?,?,?,8000.0,30000.0,20875.0,5.6,11.1,8.6,?,?,?,Mon
Adelaide,1956,06,04,4.0,8.9,12.8,11.8,10.8,?,?,?,9000.0,30000.0,18875.0,7.8,10.0,8.9,?,?,?,Mon
Adelaide,1956,06,11,4.0,10.6,16.1,13.2,16.5,?,?,?,24000.0,30000.0,25500.0,4.4,9.4,7.8,?,?,?,Mon
Adelaide,1956,06,18,6.0,7.8,13.3,9.9,6.2,?,?,?,11000.0,40000.0,22875.0,5.0,7.2,5.9,?,?,?,Mon
Adelaide,1956,07,02,2.0,11.1,14.4,12.1,7.2,?,?,?,9000.0,40000.0,25875.0,6.1,11.1,9.8,?,?,?,Mon
Adelaide,1956,07,09,0.3,7.8,13.3,10.0,4.1,?,?,?,24000.0,40000.0,31750.0,0.6,7.2,4.4,?,?,?,Mon
Adelaide,1956,07,16,9.0,7.2,11.7,9.4,9.3,?,?,?,8000.0,24000.0,15750.0,4.4,9.4,6.7,?,?,?,Mon
Adelaide,1956,07,23,0.0,9.4,13.9,11.7,9.3,?,?,?,24000.0,30000.0,27000.0,4.4,10.0,7.6,?,?,?,Mon
Adelaide,1956,09,03,3.0,6.1,15.0,10.8,4.1,?,?,?,1600.0,30000.0,14900.0,5.6,11.7,9.1,?,?,?,Mon
Adelaide,1956,09,24,0.0,15.6,20.6,17.9,9.3,?,?,?,30000.0,45000.0,35625.0,0.6,4.4,2.4,?,?,?,Mon
Adelaide,1956,10,01,0.0,7.8,16.7,12.4,2.1,?,?,?,4800.0,45000.0,28225.0,5.6,8.3,7.3,?,?,?,Mon
Adelaide,1956,10,08,0.0,15.0,20.6,18.3,10.3,?,?,?,30000.0,40000.0,38750.0,0.6,4.4,2.4,?,?,?,Mon
Adelaide,1956,10,15,7.0,13.9,17.8,15.4,10.3,?,?,?,6000.0,45000.0,23625.0,11.7,13.9,12.7,?,?,?,Mon
Adelaide,1956,10,22,0.0,11.7,17.8,14.7,10.3,?,?,?,24000.0,45000.0,30875.0,5.6,11.1,9.0,?,?,?,Mon
Adelaide,1956,10,29,0.0,9.4,15.6,12.5,12.3,?,?,?,12000.0,30000.0,23750.0,5.6,8.9,6.8,?,?,?,Mon
Adelaide,1956,11,05,0.0,11.1,18.9,14.1,8.7,?,?,?,24000.0,40000.0,30250.0,5.0,8.3,6.3,?,?,?,Mon
Adelaide,1956,11,12,2.0,10.0,17.8,13.8,3.1,?,?,?,16000.0,40000.0,26750.0,7.8,11.1,9.6,?,?,?,Mon
Adelaide,1956,11,19,0.0,8.3,17.2,13.2,10.3,?,?,?,30000.0,45000.0,38750.0,2.8,7.2,5.4,?,?,?,Mon
Adelaide,1956,11,26,0.0,8.3,18.3,14.1,7.2,?,?,?,40000.0,45000.0,40625.0,6.1,11.1,8.3,?,?,?,Mon
Adelaide,1956,12,10,0.0,11.7,18.9,15.4,6.2,?,?,?,24000.0,40000.0,34750.0,7.2,10.6,9.2,?,?,?,Mon
Adelaide,1956,12,17,0.0,16.7,22.2,18.9,12.9,?,?,?,19000.0,40000.0,32375.0,12.2,13.9,12.8,?,?,?,Mon
Adelaide,1956,12,24,0.0,13.3,20.6,17.2,10.3,?,?,?,30000.0,40000.0,37500.0,3.3,15.0,9.9,?,?,?,Mon
Adelaide,1957,01,07,0.0,10.0,20.0,15.6,11.3,?,?,?,30000.0,45000.0,39375.0,5.0,8.3,6.2,?,?,?,Mon
Adelaide,1957,01,21,0.0,13.3,26.1,19.2,6.2,?,?,?,24000.0,30000.0,29250.0,6.7,11.1,9.5,?,?,?,Mon
Adelaide,1957,01,28,0.0,22.2,31.7,26.9,6.2,?,?,?,40000.0,45000.0,44375.0,3.3,6.1,4.5,?,?,?,Mon
Adelaide,1957,02,04,0.0,12.8,26.1,19.3,5.1,?,?,?,30000.0,45000.0,38125.0,3.9,12.2,7.6,?,?,?,Mon
Adelaide,1957,02,11,0.3,11.7,21.7,16.4,12.3,?,?,?,30000.0,45000.0,36875.0,6.1,8.9,7.8,?,?,?,Mon
Adelaide,1957,02,18,0.0,18.9,27.8,23.6,5.1,?,?,?,40000.0,45000.0,44375.0,3.3,12.2,6.7,?,?,?,Mon
Adelaide,1957,02,25,0.0,11.7,23.3,17.6,7.2,?,?,?,30000.0,40000.0,36250.0,5.6,8.9,7.2,?,?,?,Mon
Adelaide,1957,03,04,0.0,12.8,23.9,17.9,6.2,?,?,?,24000.0,40000.0,35500.0,9.4,11.7,11.1,?,?,?,Mon
Adelaide,1957,03,11,4.0,14.4,21.1,17.2,3.1,?,?,?,11000.0,45000.0,35750.0,7.8,13.3,10.6,?,?,?,Mon
Adelaide,1957,03,18,0.0,10.6,25.0,18.1,3.1,?,?,?,9000.0,40000.0,26500.0,3.3,7.8,6.2,?,?,?,Mon
Adelaide,1957,04,01,0.5,10.0,19.4,14.7,7.2,?,?,?,24000.0,40000.0,36000.0,4.4,9.4,6.8,?,?,?,Mon
Adelaide,1957,04,08,0.0,15.0,27.2,21.7,10.3,?,?,?,12000.0,40000.0,27500.0,2.8,16.7,8.9,?,?,?,Mon
Adelaide,1957,04,15,0.0,15.6,19.4,17.5,6.2,?,?,?,40000.0,45000.0,40625.0,0.6,7.8,2.6,?,?,?,Mon
Adelaide,1957,04,22,0.3,16.7,24.4,20.3,13.4,?,?,?,30000.0,45000.0,38125.0,7.8,14.4,10.5,?,?,?,Mon
Adelaide,1957,04,29,0.5,15.0,19.4,16.5,11.3,?,?,?,24000.0,30000.0,27000.0,10.0,13.9,12.0,?,?,?,Mon
